Subject,Tempo_40,Tempo_45,Tempo_50,Tempo_55,Tempo_60,Tempo_65,Tempo_70,Tempo_75,Tempo_80,Tempo_85,Tempo_90,Tempo_95,Tempo_100,Tempo_105,Tempo_110,Tempo_115,Tempo_120,Tempo_125,Tempo_130,Tempo_135,Height,Age,Musical_Sophistication,Dance_Sophistication,Weight,Gender,Sex
269,1,1,1,2,1,1,2,2,3,2,2,2,3,3,3,2,3,3,3,3,172,64,59,3.5,83,2,2
272,1,1,1,1,1,2,2,1,2,3,3,3,3,3,4,4,4,4,4,5,176,30,79,2.8,90,2,2
273,1,1,2,1,1,3,2,3,3,2,3,3,3,4,4,4,4,4,4,4,167,64,31,3.5,78,1,1
274,1,1,1,1,2,1,2,3,2,2,5,4,2,5,5,4,5,4,4,4,173,29,35,4.9,65,1,1
332,1,2,2,2,2,3,4,4,3,4,4,4,3,5,4,5,5,5,5,5,178,38,66,5.25,85,1,1
339,1,2,1,3,1,2,2,2,3,4,4,3,3,3,4,3,3,4,4,4,176,29,56,5.1,68,1,1
341,1,1,1,2,4,3,2,3,3,4,3,4,4,4,5,5,4,5,5,5,163,27,73,5.1,58,1,1
346,1,1,1,4,2,1,4,3,2,2,4,5,4,4,4,4,4,4,5,5,170,48,82,4.65,65,1,1
348,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,170,28,72,4.95,67,1,1
349,1,1,1,1,1,2,2,2,2,3,4,3,3,3,3,3,3,4,4,5,183,24,92,2.05,85,2,2
356,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,175,19,68,2.5,56,1,1
371,2,3,2,3,3,3,4,4,4,4,4,4,4,4,5,4,5,5,5,5,161,24,70,3.55,75,1,1
378,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,5,5,5,4,5,177,32,45,4.6,80,2,2
384,2,1,2,2,2,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,158,26,109,2.9,70,1,1
388,1,1,1,2,3,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,193,32,97,1.4,90,2,2
389,2,2,2,2,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,173,20,122,5.15,85,1,1
390,1,1,2,2,2,2,3,2,2,3,3,2,3,3,4,3,3,4,4,5,183,28,33,2.7,73,2,2
392,1,1,2,2,2,2,3,3,3,3,3,2,3,4,3,4,3,4,4,4,173,25,77,4.2,69,1,1
393,1,1,2,1,2,2,3,3,4,4,4,4,4,5,4,5,5,5,5,5,180,23,91,4.65,67,1,1
398,1,1,2,2,2,3,3,3,3,4,3,4,4,5,4,4,5,4,5,5,183,45,72,5.15,100,2,2
406,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,162,30,76,5.5,68,1,1
408,1,1,1,1,2,2,2,2,2,1,3,2,3,2,3,3,4,4,4,4,165,23,67,4.45,57,1,1
409,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,4,4,3,4,4,169,39,98,5.05,90,1,1
410,1,1,1,1,1,1,1,2,3,2,3,3,3,1,3,4,3,2,4,2,157,58,29,3.8,63,1,1
411,1,1,1,2,2,3,2,3,2,3,4,4,4,4,4,4,3,5,4,5,167,24,78,4.2,80,1,1
414,1,1,1,2,2,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,174,30,80,3.8,65,1,1
417,1,1,2,2,3,2,2,2,3,3,2,3,4,3,3,3,4,4,4,4,167,35,70,6,60,1,1
418,2,2,2,2,3,2,4,3,3,3,3,3,3,4,4,4,3,3,4,4,168,34,92,3.45,64,1,1
419,1,1,1,1,2,2,3,3,2,2,3,3,3,4,3,4,3,4,4,4,166,30,54,4.95,82,1,1
421,1,1,2,1,1,2,2,3,2,3,2,3,2,4,4,4,5,4,4,4,174,26,32,3.35,60,1,1
423,1,1,1,2,1,2,2,3,3,2,3,4,2,4,4,5,3,4,5,5,188,31,34,4.25,100,2,2
426,1,2,1,2,2,2,2,2,3,2,3,3,3,3,3,4,3,4,4,4,164,50,68,6,60,1,1
427,2,1,1,2,2,2,1,2,4,3,3,3,4,4,4,4,4,3,5,4,162,33,42,2.7,105,1,1
429,1,2,1,1,2,2,2,2,4,3,4,4,3,3,4,5,4,4,5,5,188,33,73,4.35,96,2,2
432,1,1,2,2,2,3,3,2,2,3,3,3,4,4,4,4,4,4,4,4,170,27,94,4.55,60,1,1
435,1,1,1,1,1,1,2,2,2,4,2,2,3,3,2,3,3,3,4,4,156,25,76,4.3,58,1,1
436,1,1,1,1,2,2,2,2,3,3,2,3,3,4,4,4,4,4,4,5,160,45,73,3.65,52,1,1
438,1,1,1,3,2,1,2,2,3,1,4,4,3,4,2,2,5,5,4,4,173,35,56,2,85,1,1
445,1,1,1,1,2,1,2,2,3,3,3,4,3,3,4,4,4,4,5,4,160,40,38,2.5,70,1,1
449,2,1,2,3,1,2,3,2,3,3,4,2,4,4,4,2,4,5,3,4,181,26,46,4.1,105,2,2
452,1,1,2,1,2,2,2,3,2,3,3,3,4,4,4,4,4,5,5,5,190,28,35,4.2,100,2,2
454,1,1,2,1,2,3,1,2,4,3,2,4,3,4,4,4,5,5,4,5,186,35,93,5.45,78,2,2
455,1,1,1,1,1,1,2,1,2,2,2,2,3,3,3,4,4,4,4,5,160,27,62,5.6,60,1,1
458,1,1,1,2,3,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,160,41,118,5.9,65,1,1
461,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,188,33,66,4.6,87,2,2
462,1,1,1,1,2,3,1,3,2,2,2,2,3,3,4,4,4,4,5,4,180,26,44,2.35,78,2,2
465,2,2,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,178,45,70,4.2,81,1,1
467,2,1,3,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,169,29,55,2.65,52,1,1
472,1,1,1,1,2,3,2,2,2,3,3,3,3,3,4,3,3,4,4,4,162,35,48,4.8,66,1,1
473,1,1,2,2,2,2,2,3,3,3,2,3,3,3,4,3,4,3,4,4,168,54,55,5,115,1,1
474,1,1,1,1,2,2,3,2,2,2,3,3,4,4,4,5,4,5,4,5,195,23,73,3.75,80,2,2
476,1,2,1,1,1,2,3,2,2,2,2,3,3,3,3,3,3,4,4,4,165,28,62,2.75,78,1,1
479,1,2,2,2,2,2,3,3,3,3,3,3,4,3,4,4,4,4,4,4,176,27,61,5.65,66,1,1
480,4,2,3,4,3,4,2,5,2,3,2,3,3,3,3,4,4,4,4,3,168,62,98,3.7,90,1,1
481,1,1,2,2,2,2,2,2,3,3,3,3,4,3,3,3,4,4,4,4,163,27,93,4.35,66,1,1
482,1,1,1,2,3,2,4,3,4,4,4,4,4,4,5,5,5,5,5,5,190,50,93,5.75,93,2,2
483,1,1,1,1,1,2,2,1,3,2,1,3,3,4,4,4,4,5,4,5,167,30,76,2.85,88,1,1
487,1,1,2,2,3,2,3,3,3,3,3,3,4,4,4,4,3,4,4,4,175,58,80,5.45,86,1,1
488,1,2,1,1,1,1,2,2,2,4,4,4,2,4,4,4,5,5,5,5,170,37,28,6.65,77,1,1
489,2,1,1,2,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,160,40,60,5.6,80,1,1
490,1,1,1,2,2,2,2,2,2,2,3,3,3,4,3,4,3,4,4,4,165,42,59,4.9,58,1,1
495,2,3,2,3,3,3,4,4,3,5,5,4,4,5,5,5,5,5,5,5,170,23,82,4.65,50,1,1
496,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,5,170,52,116,4.9,60,1,1
497,1,1,1,2,3,3,2,2,3,3,2,4,4,4,4,4,4,5,5,4,168,30,79,6,60,1,1
498,2,3,2,2,3,3,4,4,3,4,4,5,5,4,5,5,5,5,5,5,179,30,53,3.55,82,2,2
499,2,2,2,2,2,3,2,2,3,3,4,4,4,3,4,4,4,5,4,4,162,42,80,4.9,74,1,1
501,1,1,1,1,1,2,2,2,2,3,3,3,5,4,5,4,5,4,5,5,165,46,61,4.45,75,1,1
502,1,1,2,2,3,2,3,2,3,3,3,3,3,3,3,4,4,4,4,4,173,34,89,5.5,75,1,1
507,1,1,1,2,1,2,2,3,3,4,4,4,3,4,4,4,4,5,4,4,171,53,111,4.25,79,1,1
514,1,1,1,1,2,2,2,3,3,3,3,2,3,3,4,4,4,4,4,4,171,25,76,5.85,80,1,1
515,1,2,1,2,2,2,2,2,3,2,3,3,3,3,4,4,4,4,4,4,178,47,64,5.35,79,1,1
517,1,1,1,1,1,2,2,2,3,3,4,3,4,4,5,4,5,5,5,4,173,24,23,4.25,61,2,2
521,1,1,1,1,1,1,1,2,2,2,3,2,3,3,4,4,4,4,5,4,170,51,78,4.9,70,1,1
522,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,176,47,80,4.05,80,2,2
524,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,160,30,54,3.7,76,1,1
527,2,1,2,1,2,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,182,24,48,4.2,82,2,2
528,1,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,171,30,75,3.85,53,1,1
529,2,1,2,2,2,3,3,3,3,3,3,4,3,4,4,4,5,5,4,4,162,40,20,2.7,75,1,1
530,1,2,1,2,1,1,2,2,4,2,4,3,4,4,4,2,4,4,4,4,177,25,89,4.2,70,1,1
534,1,1,3,2,2,1,2,2,2,2,2,4,4,3,3,3,3,3,3,3,164,38,57,2.65,59,1,1
537,1,1,1,1,2,3,3,2,1,4,4,2,4,3,5,5,5,5,5,4,182,31,58,6.25,90,2,2
538,2,3,2,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,164,42,56,2,95,1,1
539,1,1,1,1,1,2,2,2,3,3,2,3,3,3,4,3,4,4,4,4,152,36,40,3.4,70,1,1
540,1,1,1,1,1,2,3,1,2,2,4,4,4,3,4,5,4,4,4,5,170,43,76,6,62,1,1
541,1,1,1,2,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,179,38,84,5.2,75,1,1
542,1,1,1,2,2,2,1,1,3,2,3,3,4,4,4,4,4,5,5,5,170,36,70,5.8,90,1,1
544,1,2,2,2,1,4,3,4,3,2,4,4,4,4,5,5,5,5,5,5,189,28,70,4.55,100,2,2
551,1,2,3,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,180,24,90,3.85,62,2,2
558,1,2,2,1,3,1,2,3,3,4,4,3,5,4,4,4,4,5,4,5,187,42,79,5.65,100,2,1
561,1,1,1,2,2,1,2,2,4,2,2,4,3,2,3,4,3,4,4,4,178,30,60,5.35,60,1,1
565,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,160,26,123,4.9,73,1,1
568,1,1,1,2,2,2,2,2,4,4,1,2,1,4,3,4,4,3,2,4,161,42,74,1.8,55,1,1
572,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,163,29,92,5.8,60,1,1
575,1,1,1,1,1,1,1,1,2,2,2,2,4,4,3,3,4,4,4,3,190,44,101,4.45,84,2,2
577,1,1,1,1,1,2,2,3,3,2,3,3,4,3,3,3,3,4,4,4,184,38,27,1.65,117,2,2
578,1,2,1,1,2,3,1,3,3,3,2,4,4,4,5,4,5,5,5,5,161,31,71,5.6,66,1,1
579,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,164,32,84,5.2,58,1,1
599,1,1,1,2,1,2,2,2,2,1,2,2,3,4,3,4,4,4,4,4,182,50,67,5.25,73,1,1
601,1,1,1,1,2,2,2,3,2,3,3,3,4,4,4,4,5,4,4,5,160,27,70,5.65,56,1,1
608,1,2,2,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,195,33,94,4,100,2,2
609,2,2,2,2,2,2,2,3,3,3,3,3,4,3,4,3,3,4,4,4,168,33,63,5.15,79,1,1
610,1,1,1,1,1,1,2,2,2,2,3,2,3,3,4,4,4,5,5,5,175,28,69,3.25,68,1,1
614,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,3,167,53,62,4.55,54,1,1
615,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,185,30,72,5,65,2,2
616,1,1,1,2,2,2,1,4,3,2,2,4,3,3,3,3,4,3,4,4,150,52,31,4.20,67,1,1
619,1,1,1,1,2,2,2,2,3,3,2,3,3,3,3,4,4,4,4,4,160,48,81,4.85,67,1,1
622,1,1,2,2,2,3,2,3,2,2,4,3,4,4,4,5,5,5,5,5,186,36,53,4.75,72,2,2
624,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,5,4,5,5,4,172,23,56,4.7,85,1,1
635,2,2,3,3,3,2,2,3,3,4,4,3,4,4,4,4,4,4,4,4,163,33,75,3.55,54,1,1
640,1,1,1,1,2,3,3,2,3,4,4,4,4,4,5,5,5,5,5,4,153,28,30,2.7,54,1,1
643,1,1,1,1,2,2,1,1,1,3,2,3,3,2,2,4,4,5,3,5,183,27,51,3.3,86,2,2
646,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,4,4,183,31,96,5.45,82,2,2
647,1,1,2,2,2,3,3,2,3,3,3,3,5,4,5,4,5,5,5,5,170,31,96,4.35,75,2,2
649,1,1,1,1,1,1,2,1,2,2,5,2,3,1,3,3,2,4,4,4,151,37,31,3.7,56,1,1
651,1,1,1,3,3,3,4,3,3,4,3,4,4,4,4,4,4,5,5,5,166,41,102,4.1,58,1,1
656,1,1,1,2,2,1,1,2,2,2,2,3,3,3,4,3,4,4,4,5,161,30,45,4.9,67,1,1
658,1,2,1,2,2,1,2,3,3,3,3,3,3,3,4,3,4,5,5,5,165,30,55,5.3,76,1,1
659,1,1,1,2,1,3,2,2,3,2,4,3,4,4,4,5,5,3,4,5,180,45,57,4.05,79,2,2
664,1,1,3,2,4,1,2,5,3,4,4,4,4,4,4,5,4,5,5,5,160,27,59,4.85,50,1,1
665,1,1,1,3,1,1,2,2,2,2,3,3,3,3,2,4,4,4,4,4,170,27,47,4.8,66,2,2
668,1,2,1,1,2,2,3,2,3,2,4,3,4,5,4,4,5,5,4,4,165,64,40,3.4,74,1,1
669,1,1,1,1,1,2,1,2,2,4,2,3,4,4,4,4,5,5,5,5,165,29,48,3.7,65,2,2
675,1,2,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,167,41,110,6.1,69,1,1